,actor,dialogue,date,Party,word_count
884,Mr. Reagan,"Yes. If it is a well-known fact that I opposed air pollution laws in California, the only thing I can possibly think of is that the President must be suggesting the law that the Federal Government tried to impose on the State of California  not a law, but regulations  that would have made it impossible to drive an automobile within the city limits of any California city, or to have a place to put it if you did drive it against their regulations. It would have destroyed the economy of California, and, I must say, we had the support of Congress when we pointed out how ridiculous this attempt was by the Environmental Protection Agency. We still have the strictest air control, or air pollution laws in the country. As for offshore oiling, only 2% now is so leased and is producing oil. The rest, as to whether the lands are going to be opened in the next five years or so  were already five years behind in what we should be doing. There is more oil now, in the wells that have been drilled, than has been taken out in 121 years that theyve been drilled.",1980-10-28,Republican,197
887,Mr. Reagan,"The Social Security system was based on a false premise, with regard to how fast the number of workers would increase and how fast the number of retirees would increase. It is actuarially out of balance, and this first became evident about 16 years ago, and some of us were voicing warnings then. Now, it is trillions of dollars out of balance, and the only answer that has come so far is the biggest single tax increase in our nations history  the payroll tax increase for Social Security  which will only put a band-aid on this and postpone the day of reckoning by a few years at most. What is needed is a study that I have proposed by a task force of experts to look into this entire problem as to how it can be reformed and made actuarially sound, but with the premise that no one presently dependent on Social Security is going to have the rug pulled out from under them and not get their check. We cannot frighten, as we have with the threats and the campaign rhetoric that has gone on in this campaign, our senior citizens  leave them thinking that in some way, theyre endangered and they would have no place to turn. They must continue to get those checks, and I believe that the system can be put on a sound actuarial basis. But its going to take some study and some work, and not just passing a tax increase to let the load  or the roof  fall in on the next administration.",1980-10-28,Republican,260
892,Mr. Reagan,"Well, that just isnt true. It has, as I said, delayed the actuarial imbalance falling on us for just a few years with that increase in taxes, and I dont believe we can go on increasing the tax, because the problem for the young people today is that they are paying in far more than they can ever expect to get out. Now, again this statement that somehow, I wanted to destroy it and I just changed my tune, that I am for voluntary Social Security, which would mean the ruin of it. Mr. President, the voluntary thing that I suggested many years ago was that with a young man orphaned and raised by an aunt who died, his aunt was ineligible for Social Security insurance because she was not his mother. And I suggested that if this is an insurance program, certainly the person who is paying in should be able to name his own beneficiary. That is the closest I have ever come to anything voluntary with Social Security. I, too, am pledged to a Social Security program that will reassure these senior citizens of ours that they are going to continue to get their money. There are some changes that I would like to make. I would like to make a change in the regulation that discriminates against a wife who works and finds that she then is faced with a choice between her fathers or her husbands benefits, if he dies first, or what she has paid in; but it does not recognize that she has also been paying in herself, and she is entitled to more than she presently can get. Id like to change that.",1980-10-28,Republican,281
896,Mr. Reagan,"When I opposed Medicare, there was another piece of legislation meeting the same problem before the Congress. I happened to favor the other piece of legislation and thought that it would be better for the senior citizens and provide better care than the one that was finally passed. I was not opposing the principle of providing care for them. I was opposing one piece of legislation versus another. There is something else about Social Security. Of course, it doesnt come out of the payroll tax. It comes out of a general fund, but something should be done about it. I think it is disgraceful that the Disability Insurance Fund in Social Security finds checks going every month to tens of thousands of people who are locked up in our institutions for crime or for mental illness, and they are receiving disability checks from Social Security every month while a state institution provides for all of their needs and their care.",1980-10-28,Republican,160
904,Mr. Reagan,"Well, Barbara, I believe that there is a fundamental difference  and I think it has been evident in most of the answers that Mr. Carter has given tonight  that he seeks the solution to anything as another opportunity for a Federal Government program. I happen to believe that the Federal Government has usurped powers of autonomy and authority that belong back at the state and local level. It has imposed on the individual freedoms of the people, and there are more of these things that could be solved by the people themselves, if they were given a chance, or by the levels of government that were closer to them. Now, as to why I should be and he shouldnt be, when he was a candidate in 1976, President Carter invented a thing he called the misery index. He added the rate of unemployment and the rate of inflation, and it came, at that time, to 12.5% under President Ford. He said that no man with that size misery index has a right to seek reelection to the Presidency. Today, by his own decision, the misery index is in excess of 20%, and I think this must suggest something. But, when I had quoted a Democratic President, as the President says, I was a Democrat. I said many foolish things back in those days. But the President that I quoted had made a promise, a Democratic promise, and I quoted him because it was never kept. And today, you would find that that promise is at the very heart of what Republicanism represents in this country today. Thats why I believe there are going to be millions of Democrats that are going to vote with us this time around, because they too want that promise kept. It was a promise for less government and less taxes and more freedom for the people.",1980-10-28,Republican,311
908,Mr. Reagan,"Yes. Mr. President, once again, I happen to be against the amendment, because I think the amendment will take this problem out of the hands of elected legislators and put it in the hands f unelected judges. I am for equal rights, and while you have been in office for four ears and not one single state  and most f them have a majority of Democratic legislators  has added to the ratification r voted to ratify the equal rights amendment. While I was Governor, more than eight years ago, I found 14 separate instances where women were discriminated against in the body of California law, and I had passed and signed into law 14 statutes that eliminated those discriminations, including the economic ones that you have just mentioned  equal pay and so forth. I believe that if in all these years that we have spent trying to get the amendment, that we had spent as much time correcting these laws, as we did in California  and we were the first to do it. If I were President, I would also now take a look at the hundreds of Federal regulations which discriminate against women and which go right on while everyone is looking for an amendment. I would have someone ride herd on those regulations, and we would start eliminating those discriminations in the Federal Government against women.",1980-10-28,Republican,228
912,Mr. Reagan,"Well, my last word is again to say this: We were talking about this very simple amendment and womens rights. And I make it plain again: I am for womens rights. But I would like to call the attention of the people to the fact that that so-called simple amendment would be used by mischievous men to destroy discriminations that properly belong, by law, to women respecting the physical differences between the two sexes, labor laws that protect them against things that would be physically harmful to them. Those would all, could all be challenged by men. And the same would be true with regard to combat service in the military and so forth. I thought that was the subject we were supposed to be on. But, if were talking about how much we think about the working people and so forth, Im the only fellow who ever ran for this job who was six times President of his own union and still has a lifetime membership in that union.",1980-10-28,Republican,170
916,Mr. Reagan,"Yes, I would like to add my words of thanks, too, to the ladies of the League of Women Voters for making these debates possible. Im sorry that we couldnt persuade the bringing in of the third candidate, so that he could have been seen also in these debates. But still, its good that at least once, all three of us were heard by the people of this country. Next Tuesday is Election Day. Next Tuesday all of you will go to the polls, will stand there in the polling place and make a decision. I think when you make that decision, it might be well if you would ask yourself, are you better off than you were four years ago? Is it easier for you to go and buy things in the stores than it was four years ago? Is there more or less unemployment in the country than there was four years ago? Is America as respected throughout the world as it was? Do you feel that our security is as safe, that were as strong as we were four years ago? And if you answer all of those questions yes, why then, I think your choice is very obvious as to whom you will vote for. If you dont agree, if you dont think that this course that weve been on for the last four years is what you would like to see us follow for the next four, then I could suggest another choice that you have. This country doesnt have to be in the shape that it is in. We do not have to go on sharing in scarcity with the country getting worse off, with unemployment growing. We talk about the unemployment lines. If all of the unemployed today were in a single line allowing two feet for each of them, that line would reach from New York City to Los Angeles, California. All of this can be cured and all of it can be solved. I have not had the experience the President has had in holding that office, but I think in being Governor of California, the most populous state in the Union  if it were a nation, it would be the seventh-ranking economic power in the world  I, too, had some lonely moments and decisions to make. I know that the economic program that I have proposed for this nation in the next few years can resolve many of the problems that trouble us today. I know because we did it there. We cut the cost  the increased cost of government  in half over the eight years. We returned $5.7 billion in tax rebates, credits and cuts to our people. We, as I have said earlier, fell below the national average in inflation when we did that. And I know that we did give back authority and autonomy to the people. I would like to have a crusade today, and I would like to lead that crusade with your help. And it would be one to take Government off the backs of the great people of this country, and turn you loose again to do those things that I know you can do so well, because you did them and made this country great. Thank you.",1980-10-28,Republican,545
1963,Mr. Ford,"Governor Carter again is talking in broad generalities. Let me take just one question that he raises  the military strength and capability of the United States. Governor Carter in November of 1975 indicated that he wanted to cut the defense budget by $15 billion. A few months later, he said he wanted to cut the defense budget by eight or nine billion dollars. And more recently, he talks about cutting the defense budget by five to seven billion dollars. There is no way you can be strong militarily and have those kind of reductions in our military uh  appropriation. Now let me just tell you a little story. About uh  late October of 1975, I asked the then Secretary of Defense, Mr. Schlesinger, to tell me what had to be done if we were going to reduce the defense budget by uh  three to five billion dollars. A few days later, Mr. Schlesinger came back and said if we cut the defense budget by three to five billion dollars, we will have to cut military personnel by two hundred and fifty thousand, civilian personnel by a hundred thousand, jobs in America by a hundred thousand. We would have to stretch out our aircraft procurement, we would have to reduce our naval construction program, we would have to reduce the uh  research and development for the Army, the Navy, the Air Force and Marines by 8 percent. We would have to close twenty military bases in the United States immediately. Thats the kind of defense program that uh  Mr. Carter wants. Let me tell you this straight from the shoulder. You dont negotiate with Mr. Brezhnev from weakness. And the kind of defense program that Mr. Carter wants will mean a weaker defense and a poor negotiating position.",1976-10-06,Republican,297
1966,Mr. Ford,"I dont believe we should move to a cold-war relationship. I think its in the best interest of the United States, and the world as a whole that the United States negotiate rather than go back to the cold-war relationship with the Soviet Union. I dont uh  look at the picture as bleakly as you have indicated in your question, Mr. Trewhitt. I believe that the United States ha- had many successes in recent years, in recent months, as far as the Communist movement is concerned. We have been successful in Portugal, where a year ago it looked like there was a very great possibility that the uh  Communists would take over in Portugal. It didnt happen. We have a democracy in Portugal today. A few uh  months ago, or I should say, maybe two years ago, the Soviet Union looked like they had continued strength in the Middle East. Today, according to Prime Minister Rabin, the Soviet Union is weaker in the Middle East than they have been in many, many years. The facts are, there  the Soviet Union relationship with Egypt is uh  at a low level. The Soviet Union relationship with Syria is at a very low point. The United States today, according to Prime Minister Rabin of Israel, is a- at a peak in its uh  influence and power in the Middle East. But lets turn for a minute to the uhh  southern African operations that are now going on. The United States of America took the initiative in southern Africa. We wanted to end the bloodshed in southern Africa. We wanted to have the right of self-determination in southern Africa. We wanted to have majority rule with the full protection of the rights of the minority. We wanted to preserve human dignity in southern Africa. We have taken the initiative, and in southern Africa today the United States is trusted by the black front-line nations and black Africa. The United States is trusted by other elements in southern Africa. The United States foreign policy under this administration has been one of progress and success. And I believe that instead of talking about Soviet progress, we can talk about American successes. And may I make an observation  part of the question you asked, Mr. Trewhitt? I dont believe that its in the best interest of the United States and the NATO nations to have a Communist government in NATO. Mr. Carter has indicated he would look with sympathy to a Communist government in NATO. I think that would destroy the integrity and the strength of NATO, and I am totally opposed to it.",1976-10-06,Republican,437
1974,Mr. Ford,"Governor Carter again contradicts himself. He complains about secrecy and yet he is quoted as saying that in the attempt to find a solution in the Middle East that he would hold unpublicized meetings with the Soviet Union  I presume for the purpose of an  imposing a settlement on Israel and the Arab nations. But let me talk just a minute about what weve done to avoid secrecy in the Ford administration. After the United States took the initiative in working with Israel and with Egypt and achieving the Sinai II agreement  and Im proud to say that not a single Egyptian or Israeli soldier has lost his life since the signing of the Sinai agreement. But at the time that uh  I submitted the Sinai agreement to the Congress of the United States, I submitted every single document that was applicable to the Sinai II agreement. It was the most complete documentation by any president of any agreement signed by a president on behalf of the United States. Now as far as meeting with the Congress is concerned, during the twenty-four months that Ive been the president of the United States I have averaged better than one meeting a month with responsible groups or committees of the Congress  both House and Senate. The secretary of state has appeared in the several years that hes been the secretary before eighty different uh  committee hearings in the House and in the Senate. The secretary of state has made better than fifty speeches all over the United States explaining American foreign policy. I have made myself at least ten uh  speeches in various parts of the country where I have discussed with the American people defense and foreign policy.",1976-10-06,Republican,287
1977,Mr. Ford,"I believe that we have uh  negotiated with the Soviet Union since Ive been president from a position of strength. And let me cite several examples. Shortly after I became president in uh  December of 1974, I met with uh  General Secretary Brezhnev in Vladivostok and we agreed to a mutual cap on the ballistic missile launchers at a ceiling of twenty-four hundred  which means that the Soviet Union, if that becomes a permanent agreement, will have to make a reduction in their launchers that they now have or plan to have. Ive negotiated at Vladivostok with uh  Mr. Brezhnev a limitation on the MIRVing of their ballistic missiles at a figure of thirteen-twenty, which is the first time that any president has achieved a cap either on launchers or on MIRVs. It seems to me that we can go from there to uh  the uh  grain sales. The grain sales have been a benefit to American agriculture. We have achieved a five and three quarter year uh  sale of a minimum six million metric tons, which means that they have already bought about four million metric tons this year and are bound to buy another two million metric tons to take the grain and corn and wheat that the American farmers have produced in order to uh  have full production. And these grain sales to the Soviet Union have helped us tremendously in meeting the costs of the additional oil and  the oil that we have bought from overseas. If we turn to Helsinki  Im glad you raised it, Mr. uh  Frankel. In the case of Helsinki, thirty-five nations signed an agreement, including the secretary of state for the Vatican  I cant under any circumstances believe that the  His Holiness, the Pope would agree by signing that agreement that the thirty-five nations have turned over to the Warsaw Pact nations the domination of the  Eastern Europe. It just isnt true. And if Mr. Carter alleges that His Holiness by signing that has done it, he is totally inaccurate. Now, what has been accomplished by the Helsinki agreement? Number one, we have an agreement where they notify us and we notify them of any uh  military maneuvers that are to be be undertaken. They have done it. In both cases where theyve done so, there is no Soviet domination of Eastern Europe and there never will be under a Ford administration.",1976-10-06,Republican,401
1980,Mr. Ford,"I dont believe, uh  Mr. Frankel that uh  the Yugoslavians consider themselves dominated by the Soviet Union. I dont believe that the Rumanians consider themselves dominated by the Soviet Union. I dont believe that the Poles consider themselves dominated by the Soviet Union. Each of those countries is independent, autonomous: it has its own territorial integrity and the United States does not concede that those countries are under the domination of the Soviet Union. As a matter of fact, I visited Poland, Yugoslavia and Rumania to make certain that the people of those countries understood that the president of the United States and the people of the United are dedicated to their independence, their autonomy and their freedom.",1976-10-06,Republican,118
1989,Mr. Ford,"Governor Carter uh  apparently doesnt realize that since Ive been president we have sold to the Israelis over $4 billion in military hardware. We have made available to the Israelis over 45 percent of the total economic and military aid since the establishment of Israel twenty-seven years ago. So the Ford administration has done a good job in helping our good ally, Israel, and were dedicated to the survival and security of Israel. I believe that Governor Carter doesnt realize the need and necessity for arms sales to Iran. He indicates he would not make those. Iran is bordered very extensively by the Soviet Union. Iran has Iraq as one of its neighbors. The Soviet Union and the Communist-dominated government of Iraq are neighbors of Iran, and Iran is an ally of the United States. Its my strong feeling that we ought to sell arms to Iran for its own national security, and as an ally  a strong ally of the United States. The history of our relationship with Iran goes back to the days of President Truman when he decided that it was vitally necessary for our own security as well as that of Iran, that we should help that country, and Iran has been a good ally. In 1973 when there was an oil embargo, Iran did not participate. Iran continued to sell oil to the United States. I believe that its in our interest and in the interest of Israel and Iran, and Saudi Arabia, for the United States to sell arms to those countries. Its for their security as well as ours.",1976-10-06,Republican,266
1992,Mr. Ford,"Our relationship with the Peoples Republic of China is based upon the Shanghai Communique, of 1972, and that communique, calls for the normalization of relations between the United States and the Peoples Republic. It doesnt set a times schedule. It doesnt uh  make a determination as to how uh  that relationship should be achieved in relationship to our current uhh  diplomatic recognition and obligations to the Taiwanese Government. The Shanghai Communique, does say that the differences between the Peoples Republic on the one hand and Taiwan on the other shall be settled by peaceful means. The net result is this administration, and during my time as the president for the next four years, we will continue to move for normalization of relations in the traditional sense, and we will insist that the disputes between Taiwan and the Peoples Republic be settled peacefully, as was agreed in the Shanghai Communique, of 1972. The Ford administration will not let down, will not eliminate or forget our obligation to the people of Taiwan. We feel that there must be a continued obligation to the people, the some nineteen or twenty million people in Taiwan. And as we move during the next four years, those will be the policies of this administration.",1976-10-06,Republican,208
1994,Mr. Ford,"There is no policy of this government to give to the Peoples Republic, or to sell to the Peoples Republic of China, military equipment. I do not believe that we, the United States, should sell, give or otherwise transfer military hardware to the Peoples Republic of China, or any other Communist nation, such as the Soviet Union and the like.",1976-10-06,Republican,60
2003,Mr. Ford,"Let me say very categorically you cannot maintain the security of the United States with the kind of defense budget cuts that Governor Carter has indicated. In 1975 he wanted to cut the budget $15 billion. Hes now down to a figure of five to seven billion dollars. Reductions of that kind will not permit the United States to be strong enough to deter aggression and maintain the peace. Governor Carter apparently doesnt know the facts. As soon as I became president, I initiated a meeting with the NATO heads of state and met with them in Brussels to discuss how we could improve the re- defense relationship in Western Europe. In uh  November of 1975 I met with the leaders of the five industrial nations in France for the purpose of seeing what we could do acting together to meet the problems of uh  the coming recession. In Puerto Rico this year, I met with six of the leading industrial nations heads of state to meet the problem of inflation so we would be able to solve it before it got out of hand. I have met with the heads of government bilaterally as well as multilaterally. Our relations with Japan have never been better. I was the first United States president to visit Japan. And we uh  had the emperor of Japan here this uh  past year and the net result is Japan and the United States are working more closely together now than at any time in the history of our relationship. You can go around the world  and let me take Israel for example. Just recently, President Rabin said that our relations were never better.",1976-10-06,Republican,279
2006,Mr. Ford,"First we have to understand that SALT I expires October third 1977. Uh  Mr. Brezhnev and I met in Vladivostok in December of 1974 for the purpose of trying to take the initial step so we could have a SALT II agreement that would go to l985. As I indicated earlier, we did agree on a twenty-four-hundred limitation on uh  uh  launchers of ballistic missiles. Uh  that would mean a cutback in the Soviet program; it would not interfere with our own program. At the same time, we put a limitation of thirteen hundred and twenty on MIRVs. Our technicians have been working since that time in Geneva, trying to put into technical language a  an agreement that can be verified by both parties. In the meantime, there has developed the problem of the Soviet Backfire  their high-performance aircraft which they say is not a long-range aircraft and which some of our people say is a intercontinental aircraft. In the interim, there has been the development on our part primarily, the cruise missiles; cruise missiles that could be launched from land-based mobile installations; cruise missiles that could be launched  launched from high-performance aircraft, like the B-52s or the B-1s, which I hope we proceed with; cruise missiles which could be launched from either surface or submarine uh  naval vessels. Those gray-area weapons systems are creating some problems in a  the agreement for a SALT II negotiation. But I can say that I am dedicated to proceeding, and I met just last week with the foreign minister of the Soviet Union, and he indicated to me that uh  the Soviet Union was interested in narrowing the differences and making a realistic and a sound compromise. I hope and trust, in the best interest of both countries, and in the best interests of all people throughout this globe, that the Soviet Union and the United States can make a mutually beneficial agreement. Because if we do not and SALT I expires on October three, 1977, you will unleash again an all-out nuclear arms race with the potential of a nuclear holocaust of unbelievable dimensions. So its the obligation of the president to do just that, and I intend to do so.",1976-10-06,Republican,369
2008,Mr. Ford,"I believe that the cruise missiles which we are now developing in research and development across the spectrum from air, from the sea, or from the land, uh  can be uh  included within a SALT II agreement. They are a new weapons system that has a great potential, both conventional and nuclear armed. At the same time, we have to make certain that the Soviet Unions Backfire, which they claim is not an intercontinental aircraft and which some of our people contend is, must also be included if we are to get the kind of agreement which is in the best interest of both countries. And I really believe that it  its far better for us and for the Soviet Union, and more importantly for the people around the world, that these two superpowers find an answer for a SALT II agreement before October three, 1977. I think good will on both parts, hard bargaining by both parties and a reasonable compromise will be in the best interests of all parties.",1976-10-06,Republican,171
2015,Mr. Ford,"Governor Carter uh  brags about the unemployment during Democratic administrations and condemns the unemployment at the present time. I must remind him that were at peace and during the period that he brags about unemployment being low, the United States was at war. Now let me correct one other comment that uh  Governor Carter has made. I have recommended to the Congress that we develop the uranium enrichment plant at Portsmouth, Ohio, which is a publicly owned  U.S. government facility and have indicated that the private program which would follow on in Alabama is one that may or may not uhh  be constructed. But I am committed to the one at Portsmouth, Ohio. The governor also talks about morality in foreign policy. The foreign policy of the United States meets the highest standards of morality. What is more moral than peace, and the United States is at peace today? What is more moral in foreign policy than for the administration to take the lead in the World Food Conference in Rome in 1974 when the United States committed six million metric tons of food  over 60 percent of the food committed for the disadvantaged and underdeveloped nations of the world? The Ford administration wants to eradicate hunger and disease in our underdeveloped countries throughout the world. What is more moral than for the United States under the Ford administration to take the lead in southern Africa, in the Middle East? Those are initiatives in foreign policy which are of the highest moral standard and that is indicative of the foreign policy of this country.",1976-10-06,Republican,264
2018,Mr. Ford,"I believe that uh  our foreign policy must express the highest standards of morality. And the initiatives that we took in southern Africa are the best examples of what this administration is doing and will continue to do in the next four years. If the United States had not moved when we did in southern Africa, theres no doubt there would have been an acceleration of bloodshed in that tragic part of the world. If we had not taken our initiative, its very, very possible that uh  the government of Rhodesia would have been overrun and that the Soviet Union and the Cubans would have dominated uh  southern Africa. So the United States, seeking to preserve the principle of self-determination, to eliminate the possibility of bloodshed, to protect the rights of the minority as we insisted upon the rights of the majority, uh  I believe followed the good conscience of the American people in foreign policy. And I believe that we used our skill. Secretary of State Kissinger has done a superb job in working with the black African nations, the so-called front-line nations. He has done a superb job in getting the prime minister of South Africa, Mr. Vorster, to agree that the time had come for a solution to the problem of Rhodesia. Secretary Kissinger, in his meeting with uh  Prime Minister Smith of Rhodesia, was able to convince him that it was in the best interests of whites as well as blacks in Rhodesia to find an answer for a transitional government and then a majority government. This is a perfect example of the kind of leadership that the United States, under this administration, has taken. And I can assure you that this administration will follow that high moral principle in our future efforts in foreign policy, including our efforts in the Middle East where it is vitally important because the Middle East is the crossroads of the world. Thereve been more disputes in its area where theres more volatility than any other place in the world. But because Arab nations and the Israelis trust the United States, we were able to take the lead in the Sinai II Agreement. And I can assure you that the United States will have the leadership role in moving toward a comprehensive settlement of the Middle Eastern problems, I hope and trust as soon as possible. And we will do it with the highest moral principles.",1976-10-06,Republican,406
2020,Mr. Ford,"I would hope that as we move to one area of the world from another  and the United States must not spread itself too thinly  that was one of the problems that helped to create the circumstances in Vietnam  but as we as a nation find that we are asked by the various parties, either one nation against another or individuals within a nation, that the United States will take the leadership and try to resolve the differences. Let me take uh  South Korea as an example. I have personally told President Pack that the United States does not condone the kind of repressive measures that he has taken in that country. But I think in all fairness and equity we have to recognize the problem that South Korea has. On the north they have North Korea with five hundred thousand well-trained, well-equipped troops  they are supported by the Peoples Republic of China; they are supported by the Soviet Union. South Korea faces a very delicate situation. Now the United States, in this case, this administration, has recommended a year ago and we have reiterated it again this year, that the United States, South Korea, North Korea and the uh  Peoples Republic of China sit down at a conference table to resolve the problems of the Korean peninsula. This is a leadership role that the United States under this administration is carrying out, and if we do it, and I think the opportunities and the possibilities are getting better, we will have solved many of the internal domestic problems that exist in South Korea at the present time.",1976-10-06,Republican,268
2027,Mr. Ford,"The United States must and will maintain complete access to the Panama Canal. The United States must maintain a defense capability of the Panama Canal. And the United States will maintain our national security interest in the Panama Canal. The negotiations far the Panama Canal started under President Johnson and have continued up to the present time. I believe those negotiations should continue. But there are certain guidelines that must be followed, and Ive just defined them. Let me take just a minute to comment on something that Governor Carter said. On non  nu- oh  uh  nonproliferation, in May of l975, I called for a conference of uh  nuclear suppliers. That conference has met six times. In May of this year, Governor Carter took the first initiative, approximately twelve months after I had taken my initiative a year ago.",1976-10-06,Republican,139
2030,Mr. Ford,"The White House did not uh  prevent the release of that report. On July twelfth of this year, we gave full permission for the release of that report. I was very disappointed in the fact that the uh  GAO released that report because I think it interjected political partisan politics at the present time. But let me comment on the report. Somebody who sits in Washington, D.C., eighteen months after the Mayaguez incident, can be a very good grandstand quarterback. And let me make another observation. This morning, I got a call from the skipper of the Mayaguez. He was furious because he told me that it was the action of me, President Ford, that saved the lives of the crew of the Mayaguez. And I can assure you that if we had not taken the strong and forceful action that we did, we would have been uh  criticized very, very uh  severely for sitting back and not moving. Captain Miller is thankful. The crew is thankful. We did the right thing. It seems to me that those who sit in Washington eighteen months after the incident are not the best judges of the decision-making process that had to be made by the National Security Council and by myself at the time the incident was developing in the Pacific. Let me assure you that we made every possible overture to the Peoples Republic of China and through them to the Cambodian Government. We made uh  diplomatic uh  protests to the Cambodian government through the United Nations. Every possible diplomatic means was utilized. But at the same time, I had a responsibility, and so did the National Security Coun- Council, to meet the problem at hand. And we handled it responsibly and I think Captain Millers testimony to that effect is the best evidence.",1976-10-06,Republican,303
2037,Mr. Ford,"Again Governor Carter is inaccurate. The Arab boycott action was first taken in 1952. And in November of 1975 I was the first president to order the executive branch to take action, affirmative action, through the Department of Commerce and other cabinet departments, to make certain that no American businessman or business organization should discriminate against Jews because of an Arab boycott. And I might add that uh  my administration  and Im very proud of it  is the first administration that has taken an antitrust action against companies in this country that have allegedly cooperated with the Arab boycott. Just on Monday of this week I signed a tax bill that included an amendment that would prevent companies in the United States from taking a tax deduction if they have in any way whatsoever cooperated with the Arab boycott. And last week when we were trying to get the Export Administration Act through the Congress  necessary legislation  my administration went to Capitol Hill and tried to convince the House and the Senate that we should have an amendment on that legislation which would take strong and effective action against those who uh  participate or cooperate with the Arab uh boycott. One other point. Because the Congress failed to act, I am going to announce tomorrow that the Department of Commerce will disclose those companies that have uh  participated in the Arab boycott. This is something that we can do; the Congress failed to do it, and we intend to do it.",1976-10-06,Republican,251
2040,Mr. Ford,"Let me restate uh  our policy. As long as Vietnam, North Vietnam, does not give us a full and complete accounting of our missing in action, I will never uh  go along with the admission of Vietnam to the United Nations. If they do give us a bona fide, complete uh  accounting of the eight hundred MIAs, then I believe that the United States should begin negotiations for the uh  admission of Vietnam to the United Nations. But not until they have given us the full accounting of our MIAs.",1976-10-06,Republican,90
2046,Mr. Ford,"As we have seen tonight, foreign policy and defense policy are difficult and complex issues. We can debate methods, we can debate one decision or another, but there are two uh things which cannot be debated  experience and results. In the last two years, I have made policy decisions involving  long-range difficulties and policies and made day-to-day judgments not only as president of the United States but as the leader of the free world What is the result of that leadership? America is strong. America is free. America is respected. Not a single young American today is fighting or dying on any foreign battlefield. America is at peace and with freedom. Thank you, and good night.",1976-10-06,Republican,116
2057,Reagan,"Yes. I dont believe that Mr. Mondale has a plan for balancing the budget; he has a plan for raising taxes. And, as a matter of fact, the biggest single tax increase in our nations history took place 1977. And for the 5 years previous to our taking office, taxes doubled in the United States, and the budgets increased $318 billion. So, there is no ratio between taxing and balancing a budget. Whether you borrow the money or whether you simply tax it away from the people, youre taking the same amount of money out of the private sector, unless and until you bring down governments share of what it is taking. With regard to Social Security, I hope therell be more time than just this minute to mention that, but I will say this: A President should never say never. But Im going to violate that rule and say never. I will never stand for a reduction of the Social Security benefits to the people that are now getting them.",1984-10-07,Republican,171
2066,Reagan,"Well, whether he does or not, let me suggest my own idea about the leadership factor, since youve asked it. And, incidentally, I might say that with regard to the 25-percent cut in Social Security  before I get to the answer to your question  the only 25-percent cut that I know of was accompanying that huge 1977 tax increase, was a cut of 25 percent in the benefits for every American who was born after 1916. Now, leadership. First of all, I think you must have some principles you believe in. In mine, I happen to believe in the people and believe that the people are supposed to be dominant in our society  that they, not government, are to have control of their own affairs to the greatest extent possible, with an orderly society. Now, having that, I think also that in leadership  well, I believe that you find people, positions such as Im in who have the talent and ability to do the things that are needed in the various departments of government. I dont believe that a leader should be spending his time in the Oval Office deciding whos going to play tennis on the White House court. And you let those people go with the guidelines of overall policy, not looking over their shoulder and nitpicking the manner in which they go at the job. You are ultimately responsible, however, for that job. But I also believe something else about that. I believe that  and when I became Governor of California, I started this, and I continue it in this office  that any issue that comes before me, I have instructed Cabinet members and staff they are not to bring up any of the political ramifications that might surround the issue. I dont want to hear them. I want to hear only arguments as to whether it is good or bad for the people  is it morally right? And on that basis and that basis alone, we make a decision on every issue. Now, with regard to my feeling about why I thought that his record bespoke his possible taking us back to the same things that we knew under the previous administration, his record is that he spoke in praise of deficits several times, said they werent to be abhorred  that, as a matter of fact, he at one time said he wished the deficit could be doubled, because they stimulate the economy and helped reduce unemployment.",1984-10-07,Republican,411
2068,Reagan,"Our policy was not to cut subsidies. We have believed in partnership, and that was an example of a partnership between, not only local government and the Federal Government but also between the private sector that built that particular structure. And this is what weve been trying to do, is involve the Federal Government in such partnerships. We are today subsidizing housing for more than 10 million people, and were going to continue along that line. We have no thought of throwing people out into the snow, whether because of age or need. We have preserved the safety net for the people with true need in this country, and it has been pure demagoguery that we have in some way shut off all the charitable programs or many of them for the people who have real need. The safety net is there, and were taking care of more people than has ever been taken care of before by any administration in this country.",1984-10-07,Republican,163
2072,Reagan,"Well, let me just respond with regard to Social Security. When we took office, we discovered that the program that the Carter-Mondale administration had said would solve the fiscal problems of Social Security for the next 50 years wouldnt solve them for 5. Social Security was due to go bankrupt before 1983. Any proposals that I made at that time were at the request of the chairman, a Democrat, of one of the leading committees, who said we have to do something before the program goes broke and the checks bounce. And so, we made a proposal. And then in 1982, they used that proposal in a demagogic fashion for the 1982 campaign. And 3 days after the election in 1982, they came to us and said, Social Security, we know, is broke. Indeed, we had to borrow $17 billion to pay the checks. And then I asked for a bipartisan commission, which Id asked for from the beginning, to sit down and work out a solution. And so, the whole matter of what to do with Social Security has been resolved by bipartisan legislation, and it is on a sound basis now for as far as you can see into the next century.",1984-10-07,Republican,204
