actor,dialogue,date,Party
Obama,"Well, I think  lets talk about taxes, because I think its instructive. Now, four years ago, when I stood on this stage, I said that I would cut taxes for middle-class families. And thats exactly what I did. We cut taxes for middle-class families by about $3,600. And the reason is, because I believe that we do best when the middle class is doing well. And by giving them those tax cuts, they had a little more money in their pocket, and so maybe they can buy a new car. They are certainly in a better position to weather the extraordinary recession that we went through. They can buy a computer for their kid whos going off to college, which means theyre spending more money, businesses have more customers, businesses make more profits, and then hire more workers. Now, Governor Romneys proposal that he has been promoting for 18 months calls for a $5 trillion tax cut, on top of $2 trillion of additional spending for our military. And he is saying that he is going to pay for it by closing loopholes and deductions. The problem is that hes been asked over 100 times how you would close those deductions and loopholes, and he hasnt been able to identify them. But Im going to make an important point here, Jim.",2012-10-03,Democrat
Lehrer,All right.,2012-10-03,Moderator
Obama,"When you add up all the loopholes and deductions that upper-income individuals can  are currently taking advantage of, you take those all away, you dont come close to paying for $5 trillion in tax cuts and $2 trillion in additional military spending.",2012-10-03,Democrat
Obama,"And thats why independent studies looking at this said the only way to meet Governor Romneys pledge of not reducing the deficit or  or  or not adding to the deficit is by burdening middle-class families. The average middle-class family with children would pay about $2,000 more. Now, thats not my analysis. Thats the analysis of economists who have looked at this. And  and that kind of top  top-down economics, where folks at the top are doing well, so the average person making $3 million is getting a $250,000 tax break, while middle-class families are burdened further, thats not what I believe is a recipe for economic growth.",2012-10-03,Democrat
Lehrer,All right. What is the difference? Lets just stay on taxes.,2012-10-03,Moderator
Lehrer,Just  lets just stay on taxes for (inaudible).,2012-10-03,Moderator
Lehrer,What is the difference,2012-10-03,Moderator
Romney,"Well, but  but virtually  virtually everything he just said about my tax plan is inaccurate.",2012-10-03,Republican
Lehrer,All right.,2012-10-03,Moderator
Romney,"So if the tax plan he described were a tax plan I was asked to support, Id say absolutely not. Im not looking for a $5 trillion tax cut. What Ive said is I wont put in place a tax cut that adds to the deficit. Thats part one. So theres no economist that can say Mitt Romneys tax plan adds $5 trillion if I say I will not add to the deficit with my tax plan. Number two, I will not reduce the share paid by high-income individuals. I know that you and your running mate keep saying that and I know its a popular thing to say with a lot of people, but its just not the case. Look, Ive got five boys. Im used to people saying something thats not always true, but just keep on repeating it and ultimately hoping Ill believe it. But that  that is not the case. All right? I will not reduce the taxes paid by high-income Americans. And number three, I will not under any circumstances raise taxes on middle-income families. I will lower taxes on middle-income families. Now, you cite a study. There are six other studies that looked at the study you describe and say its completely wrong. I saw a study that came out today that said youre going to raise taxes by $3,000 to $4,000 on middle-income families.",2012-10-03,Republican
Romney,"And the reason is because small business pays that individual rate; 54 percent of Americas workers work in businesses that are taxed not at the corporate tax rate, but at the individual tax rate. And if we lower that rate, they will be able to hire more people. For me, this is about jobs. This is about getting jobs for the American people.",2012-10-03,Republican
Lehrer,Thats where we started. Yeah.,2012-10-03,Moderator
Obama,"Well, for 18 months hes been running on this tax plan. And now, five weeks before the election, hes saying that his big, bold idea is, Never mind. And the fact is that if you are lowering the rates the way you described, Governor, then it is not possible to come up with enough deductions and loopholes that only affect high-income individuals to avoid either raising the deficit or burdening the middle class. Its  its math. Its arithmetic. Now, Governor Romney and I do share a deep interest in encouraging small-business growth. So at the same time that my tax plan has already lowered taxes for 98 percent of families, I also lowered taxes for small businesses 18 times. And what I want to do is continue the tax rates  the tax cuts that we put into place for small businesses and families. But I have said that for incomes over $250,000 a year, that we should go back to the rates that we had when Bill Clinton was president, when we created 23 million new jobs, went from deficit to surplus, and created a whole lot of millionaires to boot. And the reason this is important is because by doing that, we cannot only reduce the deficit, we cannot only encourage job growth through small businesses, but were also able to make the investments that are necessary in education or in energy.",2012-10-03,Democrat
Obama,"And we do have a difference, though, when it comes to definitions of small business. Under  under my plan, 97 percent of small businesses would not see their income taxes go up. Governor Romney says, well, those top 3 percent, theyre the job creators, theyd be burdened. But under Governor Romneys definition, there are a whole bunch of millionaires and billionaires who are small businesses. Donald Trump is a small business. Now, I know Donald Trump doesnt like to think of himself as small anything, but  but thats how you define small businesses if youre getting business income. And that kind of approach, I believe, will not grow our economy, because the only way to pay for it without either burdening the middle class or blowing up our deficit is to make drastic cuts in things like education, making sure that we are continuing to invest in basic science and research, all the things that are helping America grow. And I think that would be a mistake.",2012-10-03,Democrat
Lehrer,All right.,2012-10-03,Moderator
Romney,"Jim, let me just come back on that  on that point, which is these",2012-10-03,Republican
Lehrer,Just for the  just for record,2012-10-03,Moderator
Romney, the small businesses were talking about,2012-10-03,Republican
Lehrer,"Excuse me. Excuse me. Just so everybody understands, were way over our first 15 minutes.",2012-10-03,Moderator
Romney,"Its fun, isnt it?",2012-10-03,Republican
Lehrer,"Its OK, its great. No problem. Well, you all dont have  you dont have a problem, I dont have a problem, because were still on the economy. Were going to come back to taxes. I want move on to the deficit and a lot of other things, too. OK, but go ahead, sir.",2012-10-03,Moderator
Romney,"You bet. Well, President, youre  Mr. President, youre absolutely right, which is that, with regards to 97 percent of the businesses are not  not taxed at the 35 percent tax rate, theyre taxed at a lower rate. But those businesses that are in the last 3 percent of businesses happen to employ half  half of all the people who work in small business. Those are the businesses that employ one-quarter of all the workers in America. And your plan is to take their tax rate from 35 percent to 40 percent. Now, and  and Ive talked to a guy who has a very small business. Hes in the electronics business in  in St. Louis. He has four employees. He said he and his son calculated how much they pay in taxes, federal income tax, federal payroll tax, state income tax, state sales tax, state property tax, gasoline tax. It added up to well over 50 percent of what they earned. And your plan is to take the tax rate on successful small businesses from 35 percent to 40 percent. The National Federation of Independent Businesses has said that will cost 700,000 jobs. I dont want to cost jobs. My priority is jobs. And so what I do is I bring down the tax rates, lower deductions and exemptions, the same idea behind Bowles-Simpson, by the way, get the rates down, lower deductions and exemptions, to create more jobs, because theres nothing better for getting us to a balanced budget than having more people working, earning more money, paying more taxes. Thats by far the most effective and efficient way to get this budget balanced.",2012-10-03,Republican
Obama,"Jim, I  you may want to move onto another topic, but I  I would just say this to the American people. If you believe that we can cut taxes by $5 trillion and add $2 trillion in additional spending that the military is not asking for, $7 trillion  just to give you a sense, over 10 years, thats more than our entire defense budget  and you think that by closing loopholes and deductions for the well-to-do, somehow you will not end up picking up the tab, then Governor Romneys plan may work for you. But I think math, common sense, and our history shows us thats not a recipe for job growth. Look, weve tried this. Weve tried both approaches. The approach that Governor Romneys talking about is the same sales pitch that was made in 2001 and 2003, and we ended up with the slowest job growth in 50 years, we ended up moving from surplus to deficits, and it all culminated in the worst financial crisis since the Great Depression.",2012-10-03,Democrat
Obama,"Bill Clinton tried the approach that Im talking about. We created 23 million new jobs. We went from deficit to surplus. And businesses did very well. So, in some ways, weve got some data on which approach is more likely to create jobs and opportunity for Americans and I believe that the economy works best when middle-class families are getting tax breaks so that theyve got some money in their pockets, and those of us who have done extraordinarily well because of this magnificent country that we live in, that we can afford to do a little bit more to make sure were not blowing up the deficit.",2012-10-03,Democrat
Romney,"Jim, the president began this segment, so I think I get the last word.",2012-10-03,Republican
Lehrer,"Well, youre going to get the first word in the next segment.",2012-10-03,Moderator
Romney,"All right. Well, but he gets the first word of that segment. I get the last word (inaudible) I hope. Let me just make this comment.",2012-10-03,Republican
Romney,"I think first of all, let me  let me repeat  let me repeat what I said. Im not in favor of a $5 trillion tax cut. Thats not my plan. My plan is not to put in place any tax cut that will add to the deficit. Thats point one. So you may keep referring to it as a $5 trillion tax cut, but thats not my plan. Number two, lets look at history. My plan is not like anything thats been tried before. My plan is to bring down rates, but also bring down deductions and exemptions and credits at the same time so the revenue stays in, but that we bring down rates to get more people working. My priority is putting people back to work in America. Theyre suffering in this country. And we talk about evidence. Look at the evidence of the last four years. Its absolutely extraordinary. Weve got 23 million people out of work or stopped looking for work in this country. Its just  its  weve got  when the president took office, 32 million people on food stamps; 47 million on food stamps today; economic growth this year slower than last year, and last year slower than the year before. Going forward with the status quo is not going to cut it for the American people who are struggling today.",2012-10-03,Republican
Lehrer,"All right. Lets talk  were still on the economy. This is, theoretically now, a second segment still on the economy, and specifically on what to do about the federal deficit, the federal debt.",2012-10-03,Moderator
Romney,"Good. Im glad you raised that, and its a  its a critical issue. I think its not just an economic issue, I think its a moral issue. I think its, frankly, not moral for my generation to keep spending massively more than we take in, knowing those burdens are going to be passed on to the next generation and theyre going to be paying the interest and the principal all their lives. And the amount of debt were adding, at a trillion a year, is simply not moral. So how do we deal with it? Well, mathematically, there are three ways that you can cut a deficit. One, of course, is to raise taxes. Number two is to cut spending. And number is to grow the economy, because if more people work in a growing economy, theyre paying taxes, and you can get the job done that way. The presidents would  president would prefer raising taxes. I understand. The problem with raising taxes is that it slows down the rate of growth. And you could never quite get the job done. I want to lower spending and encourage economic growth at the same time. What things would I cut from spending? Well, first of all, I will eliminate all programs by this test, if they dont pass it: Is the program so critical its worth borrowing money from China to pay for it? And if not, Ill get rid of it. Obamacares on my list. I apologize, Mr. President. I use that term with all respect, by the way.",2012-10-03,Republican
Obama,I like it.,2012-10-03,Democrat
Romney,"Good. OK, good. So Ill get rid of that. Im sorry, Jim, Im going to stop the subsidy to PBS. Im going to stop other things. I like PBS, I love Big Bird. Actually like you, too. But Im not going to  Im not going to keep on spending money on things to borrow money from China to pay for. Thats number one. Number two, Ill take programs that are currently good programs but I think could be run more efficiently at the state level and send them to the state.",2012-10-03,Republican
Romney,"Number three, Ill make government more efficient and to cut back the number of employees, combine some agencies and departments. My cutbacks will be done through attrition, by the way. This is the approach we have to take to get America to a balanced budget. The president said hed cut the deficit in half. Unfortunately, he doubled it. Trillion-dollar deficits for the last four years. The presidents put it in place as much public debt  almost as much debt held by the public as al prior presidents combined.",2012-10-03,Republican
Lehrer,"Mr. President, two minutes.",2012-10-03,Moderator
Obama,"When I walked into the Oval Office, I had more than a trillion-dollar deficit greeting me. And we know where it came from: two wars that were paid for on a credit card; two tax cuts that were not paid for; and a whole bunch of programs that were not paid for; and then a massive economic crisis. And despite that, what weve said is, yes, we had to take some initial emergency measures to make sure we didnt slip into a Great Depression, but what weve also said is, lets make sure that we are cutting out those things that are not helping us grow. So 77 government programs, everything from aircrafts that the Air Force had ordered but werent working very well, 18 government  18 government programs for education that were well-intentioned, not werent helping kids learn, we went after medical fraud in Medicare and Medicaid very aggressively, more aggressively than ever before, and have saved tens of billions of dollars, $50 billion of waste taken out of the system. And I worked with Democrats and Republicans to cut a trillion dollars out of our discretionary domestic budget. Thats the largest cut in the discretionary domestic budget since Dwight Eisenhower. Now, we all know that weve got to do more. And so Ive put forward a specific $4 trillion deficit reduction plan. Its on a website. You can look at all the numbers, what cuts we make and what revenue we raise. And the way we do it is $2.50 for every cut, we ask for $1 of additional revenue, paid for, as I indicated earlier, by asking those of us who have done very well in this country to contribute a little bit more to reduce the deficit. Governor Romney earlier mentioned the Bowles-Simpson commission. Well, thats how the commission  bipartisan commission that talked about how we should move forward suggested we have to do it, in a balanced way with some revenue and some spending cuts. And this is a major difference that Governor Romney and I have. Let  let me just finish their point, because youre looking for contrast. You know, when Governor Romney stood on a stage with other Republican candidates for the nomination and he was asked, would you take $10 of spending cuts for just $1 of revenue? And he said no.",2012-10-03,Democrat
Obama," talked about Medicaid and how we could send it back to the states, but effectively this means a 30 percent cut in the primary program we help for seniors who are in nursing homes, for kids who are with disabilities.",2012-10-03,Democrat
Lehrer,"Mr. President, Im sorry.",2012-10-03,Moderator
Obama,And  and that is not a right strategy for us to move forward.,2012-10-03,Democrat
Lehrer,Way over the two minutes.,2012-10-03,Moderator
Obama,Sorry.,2012-10-03,Democrat
Lehrer,"Governor, what about Simpson-Bowles? Do you support Simpson-Bowles?",2012-10-03,Moderator
Romney,"Simpson-Bowles, the president should have grabbed that.",2012-10-03,Republican
Lehrer,"No, I mean, do you support Simpson-Bowles?",2012-10-03,Moderator
Romney,"I have my own plan. Its not the same as Simpson- Bowles. But in my view, the president should have grabbed it. If you wanted to make some adjustments to it, take it, go to Congress, fight for it.",2012-10-03,Republican
Obama,"Thats what weve done, made some adjustments to it, and were putting it forward before Congress right now, a $4 trillion plan",2012-10-03,Democrat
Romney,But youve been  but youve been president four years,2012-10-03,Republican
Romney,"Youve been president four years. You said youd cut the deficit in half. Its now four years later. We still have trillion-dollar deficits. The CBO says well have a trillion-dollar deficit each of the next four years. If youre re-elected, well get to a trillion-dollar debt.",2012-10-03,Republican
Romney,"I mean, you have said before youd cut the deficit in half. And this  I love this idea of $4 trillion in cuts. You found $4 trillion of ways to reduce or to get closer to a balanced budget, except we still show trillion-dollar deficits every year. That doesnt get the job done. Let me come back and say, why is it that I dont want to raise taxes? Why dont I want to raise taxes on people? And actually, you said it back in 2010. You said, Look, Im going to extend the tax policies that we have now; Im not going to raise taxes on anyone, because when the economy is growing slow like this, when were in recession, you shouldnt raise taxes on anyone. Well, the economy is still growing slow. As a matter of fact, its growing much more slowly now than when you made that statement. And so if you believe the same thing, you just dont want to raise taxes on people. And the reality is its not just wealthy people  you mentioned Donald Trump. Its not just Donald Trump youre taxing. Its all those businesses that employ one-quarter of the workers in America; these small businesses that are taxed as individuals. You raise taxes and you kill jobs. Thats why the National Federation of Independent Businesses said your plan will kill 700,000 jobs. I dont want to kill jobs in this environment. Ill make one more point.",2012-10-03,Republican
Lehrer,(inaudible) answer the taxes thing for a moment.,2012-10-03,Moderator
Romney,OK.,2012-10-03,Republican
Lehrer,Mr. President?,2012-10-03,Moderator
Obama,"Well, weve had this discussion before.",2012-10-03,Democrat
Lehrer,"About the idea that in order to reduce the deficit, there has to be revenue in addition to cuts.",2012-10-03,Moderator
Obama,"There has to be revenue in addition to cuts. Now, Governor Romney has ruled out revenue. Hes ruled out revenue.",2012-10-03,Democrat
Romney,Absolutely. (CROSSTALK),2012-10-03,Republican
Romney,"Look, the revenue I get is by more people working, getting higher pay, paying more taxes. Thats how we get growth and how we balance the budget. But the idea of taxing people more, putting more people out of work, youll never get there. Youll never balance the budget by raising taxes. Spain  Spain spends 42 percent of their total economy on government. Were now spending 42 percent of our economy on government. I dont want to go down the path to Spain. I want to go down the path of growth that puts Americans to work with more money coming in because theyre working.",2012-10-03,Republican
Lehrer,"But  but Mr. President, youre saying in order to  to get the job done, its got to be balanced. Youve got to have",2012-10-03,Moderator
Obama,"If  if were serious, weve got to take a balanced, responsible approach. And by the way, this is not just when it comes to individual taxes. Lets talk about corporate taxes. Now, Ive identified areas where we can, right away, make a change that I believe would actually help the economy. The oil industry gets $4 billion a year in corporate welfare. Basically, they get deductions that those small businesses that Governor Romney refers to, they dont get. Now, does anybody think that ExxonMobil needs some extra money, when theyre making money every time you go to the pump? Why wouldnt we want to eliminate that? Why wouldnt we eliminate tax breaks for corporate jets? My attitude is, if you got a corporate jet, you can probably afford to pay full freight, not get a special break for it. When it comes to corporate taxes, Governor Romney has said he wants to, in a revenue neutral way, close loopholes, deductions  he hasnt identified which ones they are  but that thereby bring down the corporate rate. Well, I want to do the same thing, but Ive actually identified how we can do that. And part of the way to do it is to not give tax breaks to companies that are shipping jobs overseas. Right now, you can actually take a deduction for moving a plant overseas. I think most Americans would say that doesnt make sense. And all that raises revenue. And so if we take a balanced approach, what that then allows us to do is also to help young people, the way we already have during my administration, make sure that they can afford to go to college.",2012-10-03,Democrat
Obama,"It means that the teacher that I met in Las Vegas, a wonderful young lady, who describes to me  shes got 42 kids in her class. The first two weeks shes got them, some of them sitting on the floor until finally they get reassigned. Theyre using text books that are 10 years old. That is not a recipe for growth. Thats not how America was built. And so budgets reflect choices. Ultimately, were going to have to make some decisions. And if were asking for no revenue, then that means that weve got to get rid of a whole bunch of stuff. And the magnitude of the tax cuts that youre talking about, Governor, would end up resulting in severe hardship for people, but more importantly, would not help us grow. As I indicated before, when you talk about shifting Medicaid to states, were talking about potentially a 30  a 30 percent cut in Medicaid over time. Now, you know, that may not seem like a big deal when it just is, you know, numbers on a sheet of paper, but if were talking about a family whos got an autistic kid and is depending on that Medicaid, thats a big problem. And governors are creative. Theres no doubt about it. But theyre not creative enough to make up for 30 percent of revenue on something like Medicaid. What ends up happening is some people end up not getting help.",2012-10-03,Democrat
Romney,"Jim, lets  weve gone on a lot of topics there, and so its going to take a minute to go from Medicaid to schools",2012-10-03,Republican
Lehrer,Come back to,2012-10-03,Moderator
Romney," to oil, to tax breaks, then companies going overseas. So lets go through them one by one.",2012-10-03,Republican
Obama,Its time to end it.,2012-10-03,Democrat
Romney,"And in one year, you provided $90 billion in breaks to the green energy world. Now, I like green energy as well, but thats about 50 years worth of what oil and gas receives. And you say Exxon and Mobil. Actually, this $2.8 billion goes largely to small companies, to drilling operators and so forth.",2012-10-03,Republican
Romney,"But, you know, if we get that tax rate from 35 percent down to 25 percent, why that $2.8 billion is on the table. Of course its on the table. Thats probably not going to survive you get that rate down to 25 percent. But dont forget, you put $90 billion, like 50 years worth of breaks, into  into solar and wind, to Solyndra and Fisker and Tester and Ener1. I mean, I had a friend who said you dont just pick the winners and losers, you pick the losers, all right? So this  this is not  this is not the kind of policy you want to have if you want to get America energy secure. The second topic, which is you said you get a deduction for taking a plant overseas. Look, Ive been in business for 25 years. I have no idea what youre talking about. I maybe need to get a new accountant.",2012-10-03,Republican
Lehrer,Lets,2012-10-03,Moderator
Romney,But  but the idea that you get a break for shipping jobs overseas is simply not the case.,2012-10-03,Republican
Romney,"What we do have right now is a setting where Id like to bring money from overseas back to this country. And, finally, Medicaid to states? Im not quite sure where that came in, except this, which is, I would like to take the Medicaid dollars that go to states and say to a state, youre going to get what you got last year, plus inflation, plus 1 percent, and then youre going to manage your care for your poor in the way you think best. And I remember, as a governor, when this idea was floated by Tommy Thompson, the governors  Republican and Democrats  said, please let us do that. We can care for our own poor in so much better and more effective a way than having the federal government tell us how to care for our poor. So  so lets state  one of the magnificent things about this country is the whole idea that states are the laboratories of democracy. Dont have the federal government tell everybody what kind of training programs they have to have and what kind of Medicaid they have to have. Let states do this. And, by the way, if a state gets in trouble, well, we can step in and see if we can find a way to help them.",2012-10-03,Republican
Lehrer,Lets go.,2012-10-03,Moderator
Romney,"But  but the right  the right approach is one which relies on the brilliance of our people and states, not the federal government.",2012-10-03,Republican
Lehrer,"(inaudible) and were going on  still on the economy, on another  but another part of it",2012-10-03,Moderator
Obama,OK.,2012-10-03,Democrat
Lehrer,"All right? All right. This is segment three, the economy. Entitlements. First  first answer goes to you, two minutes, Mr. President. Do you see a major difference between the two of you on Social Security?",2012-10-03,Moderator
Obama,"You know, I suspect that, on Social Security, weve got a somewhat similar position. Social Security is structurally sound. Its going to have to be tweaked the way it was by Ronald Reagan and Speaker  Democratic Speaker Tip ONeill. But it is  the basic structure is sound. But  but I want to talk about the values behind Social Security and Medicare, and then talk about Medicare, because thats the big driver of our deficits right now. You know, my grandmother  some of you know  helped to raise me. My grandparents did. My grandfather died a while back. My grandmother died three days before I was elected president. And she was fiercely independent. She worked her way up, only had a high school education, started as a secretary, ended up being the vice president of a local bank. And she ended up living alone by choice. And the reason she could be independent was because of Social Security and Medicare. She had worked all her life, put in this money, and understood that there was a basic guarantee, a floor under which she could not go. And thats the perspective I bring when I think about whats called entitlements. You know, the name itself implies some sense of dependency on the part of these folks. These are folks whove worked hard, like my grandmother, and there are millions of people out there who are counting on this.",2012-10-03,Democrat
Obama,"So my approach is to say, how do we strengthen the system over the long term? And in Medicare, what we did was we said, we are going to have to bring down the costs if were going to deal with our long-term deficits, but to do that, lets look where some of the moneys going. $716 billion we were able to save from the Medicare program by no longer overpaying insurance companies by making sure that we werent overpaying providers. And using that money, we were actually able to lower prescription drug costs for seniors by an average of $600, and we were also able to make a  make a significant dent in providing them the kind of preventive care that will ultimately save money through the  throughout the system. So the way for us to deal with Medicare in particular is to lower health care costs. When it comes to Social Security, as I said, you dont need a major structural change in order to make sure that Social Security is there for the future.",2012-10-03,Democrat
Lehrer,"Well follow up on this. First, Governor Romney, you have two minutes on Social Security and entitlements.",2012-10-03,Moderator
Romney,"Well, Jim, our seniors depend on these programs, and I know anytime we talk about entitlements, people become concerned that somethings going to happen thats going to change their life for the worse. And the answer is neither the president nor I are proposing any changes for any current retirees or near retirees, either to Social Security or Medicare. So if youre 60 or around 60 or older, you dont need to listen any further. But for younger people, we need to talk about what changes are going to be occurring. Oh, I just thought about one. And that is, in fact, I was wrong when I said the president isnt proposing any changes for current retirees. In fact he is on Medicare. On Social Security hes not. But on Medicare, for current retirees, hes cutting $716 billion from the program. Now, he says by not overpaying hospitals and providers. Actually just going to them and saying, Were going to reduce the rates you get paid across the board, everybodys going to get a lower rate. Thats not just going after places where theres abuse. Thats saying were cutting the rates. Some 15 percent of hospitals and nursing homes say they wont take anymore Medicare patients under that scenario. We also have 50 percent of doctors who say they wont take more Medicare patients. This  we have 4 million people on Medicare Advantage that will lose Medicare Advantage because of those $716 billion in cuts. I cant understand how you can cut Medicare $716 billion for current recipients of Medicare. Now, you point out, well, were putting some back. Were going to give a better prescription program. Thats $1  thats $1 for every $15 youve cut. Theyre smart enough to know thats not a good trade. I want to take that $716 billion youve cut and put it back into Medicare. By the way, we can include a prescription program if we need to improve it. But the idea of cutting $716 billion from Medicare to be able to balance the additional cost of Obamacare is, in my opinion, a mistake. And with regards to young people coming along, Ive got proposals to make sure Medicare and Social Security are there for them without any question.",2012-10-03,Republican
Lehrer,Mr. President?,2012-10-03,Moderator
Obama,"First of all, I think its important for Governor Romney to present this plan that he says will only affect folks in the future.",2012-10-03,Democrat
Lehrer,And you dont support that?,2012-10-03,Moderator
Obama,I dont. And let me explain why.,2012-10-03,Democrat
Romney,"Again, thats for future",2012-10-03,Republican
Obama,I understand.,2012-10-03,Democrat
Romney," people, right, not for current retirees.",2012-10-03,Republican
Obama,"For  so if youre  if youre 54 or 55, you might want to listen cause this  this will affect you. The idea, which was originally presented by Congressman Ryan, your running mate, is that we would give a voucher to seniors and they could go out in the private marketplace and buy their own health insurance. The problem is that because the voucher wouldnt necessarily keep up with health care inflation, it was estimated that this would cost the average senior about $6,000 a year. Now, in fairness, what Governor Romney has now said is hell maintain traditional Medicare alongside it. But theres still a problem, because what happens is, those insurance companies are pretty clever at figuring out who are the younger and healthier seniors. They recruit them, leaving the older, sicker seniors in Medicare. And every health care economist that looks at it says, over time, whatll happen is the traditional Medicare system will collapse.",2012-10-03,Democrat
Obama,"And then what youve got is folks like my grandmother at the mercy of the private insurance system precisely at the time when they are most in need of decent health care. So, I dont think vouchers are the right way to go. And this is not my own  only my opinion. AARP thinks that the  the savings that we obtained from Medicare bolster the system, lengthen the Medicare trust fund by eight years. Benefits were not affected at all. And ironically, if you repeal Obamacare, and I have become fond of this term, Obamacare, if you repeal it, what happens is those seniors right away are going to be paying $600 more in prescription care. Theyre now going to have to be paying copays for basic checkups that can keep them healthier. And the primary beneficiary of that repeal are insurance companies that are estimated to gain billions of dollars back when they arent making seniors any healthier. And I dont think thats the right approach when it comes to making sure that Medicare is stronger over the long term.",2012-10-03,Democrat
Lehrer,"Well talk about  specifically about health care in a moment. But what  do you support the voucher system, Governor?",2012-10-03,Moderator
Romney,What I support is no change for current retirees and near-retirees to Medicare. And the president supports taking $716 billion out of that program.,2012-10-03,Republican
Lehrer,And what about the vouchers?,2012-10-03,Moderator
Romney,"So thats  thats number one. Number two is for people coming along that are young, what I do to make sure that we can keep Medicare in place for them is to allow them either to choose the current Medicare program or a private plan. Their choice. They get to choose  and theyll have at least two plans that will be entirely at no cost to them. So they dont have to pay additional money, no additional $6,000. Thats not going to happen. Theyll have at least two plans.",2012-10-03,Republican
Romney,"And by the way, if the government can be as efficient as the private sector and offer premiums that are as low as the private sector, people will be happy to get traditional Medicare or theyll be able to get a private plan. I know my own view is Id rather have a private plan. Id just assume not have the government telling me what kind of health care I get. Id rather be able to have an insurance company. If I dont like them, I can get rid of them and find a different insurance company. But people make their own choice. The other thing we have to do to save Medicare? We have to have the benefits high for those that are low income, but for higher income people, were going to have to lower some of the benefits. We have to make sure this program is there for the long term. Thats the plan that Ive put forward. And, by the way the idea came not even from Paul Ryan or  or Senator Wyden, whos the co-author of the bill with  with Paul Ryan in the Senate, but also it came from Bill  Bill Clintons chief of staff. This is an idea thats been around a long time, which is saying, hey, lets see if we cant get competition into the Medicare world so that people can get the choice of different plans at lower cost, better quality. I believe in competition.",2012-10-03,Republican
Obama,"Jim, if I  if I can just respond very quickly, first of all, every study has shown that Medicare has lower administrative costs than private insurance does, which is why seniors are generally pretty happy with it. And private insurers have to make a profit. Nothing wrong with that. Thats what they do. And so youve got higher administrative costs, plus profit on top of that. And if you are going to save any money through what Governor Romneys proposing, what has to happen is, is that the money has to come from somewhere. And when you move to a voucher system, you are putting seniors at the mercy of those insurance companies. And over time, if traditional Medicare has decayed or fallen apart, then theyre stuck. And this is the reason why AARP has said that your plan would weaken Medicare substantially. And thats why they were supportive of the approach that we took. One last point I want to make. We do have to lower the cost of health care, not just in Medicare and Medicaid LEHRER: Talk about that in a minute.",2012-10-03,Democrat
Obama, but  but  but overall.,2012-10-03,Democrat
Lehrer,OK.,2012-10-03,Moderator
Obama,And so,2012-10-03,Democrat
Romney,Thats  thats a big topic. Can we  can we stay on Medicare?,2012-10-03,Republican
Obama,Is that a  is that a separate topic?,2012-10-03,Democrat
Lehrer,"Yeah, were going to  yeah, I want to get to it.",2012-10-03,Moderator
Obama,Im sorry.,2012-10-03,Democrat
Lehrer,But all I want to do is go very quickly,2012-10-03,Moderator
Romney,Lets get back to Medicare.,2012-10-03,Republican
Lehrer, before we leave the economy,2012-10-03,Moderator
Romney,Lets get back to Medicare.,2012-10-03,Republican
Romney,The president said that the government can provide the service at lower cost and without a profit.,2012-10-03,Republican
Lehrer,All right.,2012-10-03,Moderator
Romney,"If thats the case, then it will always be the best product that people can purchase.",2012-10-03,Republican
Lehrer,"Wait a minute, Governor.",2012-10-03,Moderator
Romney,But my experience  my experience the private sector typically is able to provide a better product at a lower cost.,2012-10-03,Republican
Lehrer,All right. Can we  can the two of you agree that the voters have a choice  a clear choice between the two,2012-10-03,Moderator
Romney,Absolutely.,2012-10-03,Republican
Lehrer, of you on Medicare?,2012-10-03,Moderator
Romney,Absolutely.,2012-10-03,Republican
Obama,Absolutely.,2012-10-03,Democrat
Lehrer,"All right. So to finish quickly, briefly, on the economy, what is your view about the level of federal regulation of the economy right now? Is there too much? And in your case, Mr. President, is there  should there be more?",2012-10-03,Moderator
Romney,"Regulation is essential. You cant have a free market work if you dont have regulation. As a businessperson, I had to have  I need to know the regulations. I needed them there. You couldnt have people opening up banks in their  in their garage and making loans. I mean, you have to have regulations so that you can have an economy work. Every free economy has good regulation. At the same time, regulation can become excessive.",2012-10-03,Republican
Lehrer,"Is it excessive now, do you think?",2012-10-03,Moderator
Romney,"In some places, yes. Other places, no.",2012-10-03,Republican
Lehrer,Like where?,2012-10-03,Moderator
Romney,"No, it can become out of date. And whats happened with some of the legislation thats been passed during the presidents term, youve seen regulation become excessive, and its hurt  its hurt the economy. Let me give you an example. Dodd-Frank was passed. And it includes within it a number of provisions that I think has some unintended consequences that are harmful to the economy. One is it designates a number of banks as too big to fail, and theyre effectively guaranteed by the federal government. This is the biggest kiss thats been given to  to New York banks Ive ever seen. This is an enormous boon for them. Thereve been 122 community and small banks have closed since Dodd- Frank.",2012-10-03,Republican
Lehrer,Do you want to repeal Dodd-Frank?,2012-10-03,Moderator
Romney,"Well, I would repeal and replace it. Were not going to get rid of all regulation. You have to have regulation. And there are some parts of Dodd-Frank that make all the sense in the world. You need transparency, you need to have leverage limits for",2012-10-03,Republican
Lehrer,"Well, heres a specific",2012-10-03,Moderator
Romney,But lets  lets mention  let me mention the other one. Lets talk,2012-10-03,Republican
Lehrer,"No, lets not. Lets let him respond  lets let him respond to this specific on Dodd-Frank and what the governor just said.",2012-10-03,Moderator
